K,Dimension,Number of Points,Time,Distribution
6,2,400,5.29287e-05,Uniform
7,2,400,6.37017e-05,Uniform
8,2,400,7.66133e-05,Uniform
9,2,400,8.36497e-05,Uniform
10,2,400,8.68505e-05,Uniform
11,2,400,9.27651e-05,Uniform
1,2,800,1.45075e-05,Uniform
2,2,800,2.82938e-05,Uniform
3,2,800,4.32433e-05,Uniform
4,2,800,6.11518e-05,Uniform
5,2,800,7.79776e-05,Uniform
6,2,800,8.62523e-05,Uniform
7,2,800,9.94139e-05,Uniform
8,2,800,0.00011665,Uniform
9,2,800,0.000125673,Uniform
10,2,800,0.000131813,Uniform
11,2,800,0.000143306,Uniform
1,2,1600,1.38205e-05,Uniform
2,2,1600,2.50278e-05,Uniform
3,2,1600,3.92022e-05,Uniform
4,2,1600,5.7186e-05,Uniform
5,2,1600,7.25446e-05,Uniform
6,2,1600,8.33528e-05,Uniform
7,2,1600,0.000100042,Uniform
8,2,1600,0.000119455,Uniform
9,2,1600,0.000130244,Uniform
10,2,1600,0.000136632,Uniform
11,2,1600,0.000148972,Uniform
1,2,3200,1.7209e-05,Uniform
2,2,3200,3.44076e-05,Uniform
3,2,3200,4.94211e-05,Uniform
4,2,3200,7.53415e-05,Uniform
5,2,3200,9.47403e-05,Uniform
6,2,3200,0.000110898,Uniform
7,2,3200,0.000129671,Uniform
8,2,3200,0.000156777,Uniform
9,2,3200,0.000171452,Uniform
10,2,3200,0.00017945,Uniform
11,2,3200,0.000196053,Uniform
1,2,6400,2.38907e-05,Uniform
2,2,6400,5.10144e-05,Uniform
3,2,6400,8.92202e-05,Uniform
4,2,6400,0.000128842,Uniform
5,2,6400,0.000168624,Uniform
6,2,6400,0.000191708,Uniform
7,2,6400,0.000222715,Uniform
8,2,6400,0.00026902,Uniform
9,2,6400,0.000298886,Uniform
10,2,6400,0.000314731,Uniform
11,2,6400,0.000344228,Uniform
1,2,12800,2.87695e-05,Uniform
2,2,12800,6.08813e-05,Uniform
3,2,12800,0.000111943,Uniform
4,2,12800,0.000170031,Uniform
5,2,12800,0.000215544,Uniform
6,2,12800,0.00024807,Uniform
7,2,12800,0.000301366,Uniform
8,2,12800,0.000369847,Uniform
9,2,12800,0.000415213,Uniform
10,2,12800,0.000804893,Uniform
11,2,12800,0.000657142,Uniform
1,2,25600,5.22853e-05,Uniform
2,2,25600,9.87823e-05,Uniform
3,2,25600,0.000149015,Uniform
4,2,25600,0.000252097,Uniform
5,2,25600,0.000335642,Uniform
6,2,25600,0.000394309,Uniform
7,2,25600,0.00046658,Uniform
8,2,25600,0.000573607,Uniform
9,2,25600,0.000641472,Uniform
10,2,25600,0.000679669,Uniform
11,2,25600,0.000756606,Uniform
1,2,51200,5.39851e-05,Uniform
2,2,51200,0.000110809,Uniform
3,2,51200,0.000186035,Uniform
4,2,51200,0.000290816,Uniform
5,2,51200,0.000388053,Uniform
6,2,51200,0.000443229,Uniform
7,2,51200,0.000529892,Uniform
8,2,51200,0.000638924,Uniform
9,2,51200,0.00071614,Uniform
10,2,51200,0.000763465,Uniform
11,2,51200,0.000841733,Uniform
1,2,102400,9.29251e-05,Uniform
2,2,102400,0.000218175,Uniform
3,2,102400,0.000371152,Uniform
4,2,102400,0.000566779,Uniform
5,2,102400,0.000745928,Uniform
6,2,102400,0.000881959,Uniform
7,2,102400,0.00105031,Uniform
8,2,102400,0.0013494,Uniform
9,2,102400,0.00151729,Uniform
10,2,102400,0.00161073,Uniform
11,2,102400,0.0017227,Uniform
1,2,204800,0.000141982,Uniform
2,2,204800,0.000300879,Uniform
3,2,204800,0.000470031,Uniform
4,2,204800,0.00071114,Uniform
5,2,204800,0.00095455,Uniform
6,2,204800,0.00111933,Uniform
7,2,204800,0.00132951,Uniform
8,2,204800,0.00160743,Uniform
9,2,204800,0.00181379,Uniform
10,2,204800,0.00194013,Uniform
11,2,204800,0.00216378,Uniform
1,2,409600,0.000115867,Uniform
2,2,409600,0.000309757,Uniform
3,2,409600,0.000563715,Uniform
4,2,409600,0.000892618,Uniform
