K,Dimension,Number of Points,Time,Distribution
11,2,25600,0.00232503,Uniform
1,2,51200,0.00781305,Uniform
2,2,51200,0.00602337,Uniform
3,2,51200,0.00601022,Uniform
4,2,51200,0.00654022,Uniform
5,2,51200,0.00594337,Uniform
6,2,51200,0.00595401,Uniform
7,2,51200,0.0060672,Uniform
8,2,51200,0.00594524,Uniform
9,2,51200,0.00594104,Uniform
10,2,51200,0.00602804,Uniform
11,2,51200,0.00594378,Uniform
1,2,102400,0.0123159,Uniform
2,2,102400,0.013973,Uniform
3,2,102400,0.0130582,Uniform
4,2,102400,0.0133712,Uniform
5,2,102400,0.0125747,Uniform
6,2,102400,0.0123173,Uniform
7,2,102400,0.0126988,Uniform
8,2,102400,0.0125668,Uniform
9,2,102400,0.0131769,Uniform
10,2,102400,0.0125688,Uniform
11,2,102400,0.0134308,Uniform
1,2,204800,0.0308742,Uniform
2,2,204800,0.029262,Uniform
3,2,204800,0.0290681,Uniform
4,2,204800,0.0275456,Uniform
5,2,204800,0.027375,Uniform
6,2,204800,0.0289753,Uniform
7,2,204800,0.0373051,Uniform
8,2,204800,0.0345156,Uniform
9,2,204800,0.0364931,Uniform
10,2,204800,0.0327544,Uniform
11,2,204800,0.0272417,Uniform
1,2,409600,0.0615555,Uniform
2,2,409600,0.0610584,Uniform
3,2,409600,0.0583882,Uniform
4,2,409600,0.0584033,Uniform
5,2,409600,0.0562279,Uniform
6,2,409600,0.0564166,Uniform
7,2,409600,0.0555244,Uniform
8,2,409600,0.0535239,Uniform
9,2,409600,0.0511548,Uniform
10,2,409600,0.0566148,Uniform
11,2,409600,0.0557363,Uniform
1,2,819200,0.121948,Uniform
2,2,819200,0.117308,Uniform
3,2,819200,0.11998,Uniform
4,2,819200,0.114859,Uniform
5,2,819200,0.128165,Uniform
6,2,819200,0.11779,Uniform
7,2,819200,0.116209,Uniform
8,2,819200,0.113395,Uniform
9,2,819200,0.114918,Uniform
10,2,819200,0.113962,Uniform
11,2,819200,0.114432,Uniform
1,2,50,6.4332e-06,Gaussian
2,2,50,3.9272e-06,Gaussian
3,2,50,5.4409e-06,Gaussian
4,2,50,9.9081e-06,Gaussian
5,2,50,1.19391e-05,Gaussian
6,2,50,8.9879e-06,Gaussian
7,2,50,8.9837e-06,Gaussian
8,2,50,1.04278e-05,Gaussian
9,2,50,1.16163e-05,Gaussian
10,2,50,1.40029e-05,Gaussian
11,2,50,1.3998e-05,Gaussian
1,2,100,1.10627e-05,Gaussian
2,2,100,1.4194e-05,Gaussian
3,2,100,1.13535e-05,Gaussian
4,2,100,1.44813e-05,Gaussian
5,2,100,1.38353e-05,Gaussian
6,2,100,1.15736e-05,Gaussian
7,2,100,1.6526e-05,Gaussian
8,2,100,1.36179e-05,Gaussian
9,2,100,1.55952e-05,Gaussian
10,2,100,1.55126e-05,Gaussian
11,2,100,1.56802e-05,Gaussian
1,2,200,2.86856e-05,Gaussian
2,2,200,2.50393e-05,Gaussian
3,2,200,2.50969e-05,Gaussian
4,2,200,2.7476e-05,Gaussian
5,2,200,2.85778e-05,Gaussian
6,2,200,2.53646e-05,Gaussian
7,2,200,2.5339e-05,Gaussian
8,2,200,3.11793e-05,Gaussian
9,2,200,2.57781e-05,Gaussian
10,2,200,2.56613e-05,Gaussian
11,2,200,2.58678e-05,Gaussian
1,2,400,0.000107808,Gaussian
2,2,400,9.58779e-05,Gaussian
3,2,400,0.000100984,Gaussian
4,2,400,0.000107564,Gaussian
5,2,400,8.74055e-05,Gaussian
6,2,400,8.95204e-05,Gaussian
7,2,400,8.93264e-05,Gaussian
8,2,400,0.000190744,Gaussian
9,2,400,0.000135812,Gaussian
10,2,400,8.81044e-05,Gaussian
11,2,400,0.000133533,Gaussian
1,2,800,0.000206122,Gaussian
2,2,800,0.000202572,Gaussian
3,2,800,0.000206629,Gaussian
4,2,800,0.000203099,Gaussian
5,2,800,0.000255967,Gaussian
6,2,800,0.000280824,Gaussian
7,2,800,0.000219901,Gaussian
8,2,800,0.000203206,Gaussian
9,2,800,0.000218643,Gaussian
10,2,800,0.00020658,Gaussian
11,2,800,0.000203831,Gaussian
1,2,1600,0.000494556,Gaussian
2,2,1600,0.000506409,Gaussian
3,2,1600,0.00049564,Gaussian
4,2,1600,0.000498302,Gaussian
5,2,1600,0.000499017,Gaussian
6,2,1600,0.000494989,Gaussian
7,2,1600,0.000499986,Gaussian
8,2,1600,0.00049488,Gaussian
9,2,1600,0.000524896,Gaussian
10,2,1600,0.000495707,Gaussian
11,2,1600,0.000500227,Gaussian
1,2,3200,0.00115326,Gaussian
2,2,3200,0.00114272,Gaussian
3,2,3200,0.00114247,Gaussian
4,2,3200,0.0011449,Gaussian
5,2,3200,0.00114507,Gaussian
6,2,3200,0.00114338,Gaussian
7,2,3200,0.00114227,Gaussian
8,2,3200,0.00114306,Gaussian
9,2,3200,0.0011425,Gaussian
10,2,3200,0.00115362,Gaussian
11,2,3200,0.00114363,Gaussian
1,2,6400,0.00231677,Gaussian
2,2,6400,0.00247808,Gaussian
3,2,6400,0.00235688,Gaussian
4,2,6400,0.00232932,Gaussian
5,2,6400,0.00231927,Gaussian
6,2,6400,0.00231861,Gaussian
7,2,6400,0.0023192,Gaussian
8,2,6400,0.00231985,Gaussian
9,2,6400,0.0023187,Gaussian
10,2,6400,0.00231837,Gaussian
11,2,6400,0.002318,Gaussian
1,2,12800,0.00656673,Gaussian
2,2,12800,0.00664654,Gaussian
3,2,12800,0.00634775,Gaussian
4,2,12800,0.00632885,Gaussian
5,2,12800,0.00636509,Gaussian
6,2,12800,0.00621441,Gaussian
7,2,12800,0.00626948,Gaussian
8,2,12800,0.00622138,Gaussian
9,2,12800,0.00627084,Gaussian
10,2,12800,0.00629832,Gaussian
11,2,12800,0.00649595,Gaussian
1,2,25600,0.0160611,Gaussian
2,2,25600,0.0163857,Gaussian
3,2,25600,0.0162153,Gaussian
4,2,25600,0.0164248,Gaussian
5,2,25600,0.0157427,Gaussian
6,2,25600,0.0175348,Gaussian
7,2,25600,0.0197545,Gaussian
8,2,25600,0.0193171,Gaussian
9,2,25600,0.018168,Gaussian
10,2,25600,0.0167673,Gaussian
11,2,25600,0.0168675,Gaussian
1,2,51200,0.0275626,Gaussian
2,2,51200,0.0272966,Gaussian
3,2,51200,0.0274602,Gaussian
4,2,51200,0.0276735,Gaussian
5,2,51200,0.0262814,Gaussian
6,2,51200,0.0263592,Gaussian
7,2,51200,0.0291435,Gaussian
8,2,51200,0.026448,Gaussian
9,2,51200,0.0262843,Gaussian
10,2,51200,0.0264007,Gaussian
11,2,51200,0.0263064,Gaussian
1,2,102400,0.0729494,Gaussian
2,2,102400,0.0746449,Gaussian
3,2,102400,0.0747275,Gaussian
4,2,102400,0.07616,Gaussian
5,2,102400,0.0783996,Gaussian
6,2,102400,0.0729816,Gaussian
7,2,102400,0.0764164,Gaussian
8,2,102400,0.0761813,Gaussian
9,2,102400,0.0753973,Gaussian
10,2,102400,0.0740884,Gaussian
11,2,102400,0.0756287,Gaussian
1,2,204800,0.130418,Gaussian
2,2,204800,0.131106,Gaussian
3,2,204800,0.126205,Gaussian
4,2,204800,0.129276,Gaussian
5,2,204800,0.132153,Gaussian
6,2,204800,0.12786,Gaussian
7,2,204800,0.142206,Gaussian
8,2,204800,0.133685,Gaussian
9,2,204800,0.126659,Gaussian
10,2,204800,0.126887,Gaussian
11,2,204800,0.125254,Gaussian
1,2,409600,0.364333,Gaussian
2,2,409600,0.348104,Gaussian
3,2,409600,0.342774,Gaussian
4,2,409600,0.346858,Gaussian
5,2,409600,0.352407,Gaussian
6,2,409600,0.355077,Gaussian
7,2,409600,0.35606,Gaussian
8,2,409600,0.391036,Gaussian
